tracking_nr,order_nr,package_nr,fk_delivery_company,return_reasons,shipped_date,delivered_date,receivables,status
5005643329,371597562,MPDS-371597562-4487,1,,2018-07-01,2018-07-03,1545,
5005643756,386295562,MPDS-386295562-1194,1,,2018-07-01,2018-07-03,1629.8,
5005644686,376644162,MPDS-376644162-2722,1,,2018-07-01,2018-07-04,846.26,
5005645065,384392162,MPDS-384392162-2671,1,,2018-07-01,2018-07-03,213.17,
5005644888,389833562,MPDS-389833562-7279,1,,2018-07-01,2018-07-03,985,
5005645508,374183562,MPDS-374183562-7926,1,,2018-07-01,2018-07-03,438,
5005644831,371842162,MPDS-371842162-6248,1,,2018-07-01,2018-07-04,1221.5,
5005644677,377184162,MPDS-377184162-1476,1,,2018-07-01,2018-07-03,1343,
5005644445,345843562,MPDS-345843562-4004,1,,2018-07-01,2018-07-03,500,
5005645184,376124162,MPDS-376124162-8016,1,,2018-07-01,2018-07-03,798.5,
5005645707,365756162,365756162-2359,1,,2018-07-01,2018-07-03,95.13,
5005645718,362236162,362236162-6788,1,,2018-07-01,2018-07-03,109.61,
5005645722,377116162,377116162-7013,1,,2018-07-01,2018-07-03,338.34,
5005645724,369449162,369449162-1263,1,,2018-07-01,2018-07-03,2002.09,
5005645727,357136162,357136162-4556,1,,2018-07-01,2018-07-03,149.75,
5005645728,349856162,349856162-3572,1,,2018-07-01,2018-07-03,427.43,
5005645729,326236162,326236162-5738,1,,2018-07-01,2018-07-03,449.75,
5005645731,376816162,376816162-5685,1,,2018-07-01,2018-07-03,114.77,
5005645732,397512162,397512162-5355,1,,2018-07-01,2018-07-03,179.5,
5005645733,319956162,319956162-2379,1,,2018-07-01,2018-07-03,275.5,
5005645741,398756162,398756162-9456,1,,2018-07-01,2018-07-03,704.55,
5005645747,335469162,335469162-8703,1,,2018-07-01,2018-07-03,1195,
5005645755,376129162,376129162-6092,1,,2018-07-01,2018-07-03,474.5,
5005645768,374429162,374429162-5998,1,,2018-07-01,2018-07-03,368,
5005645771,324429162,324429162-1714,1,,2018-07-01,2018-07-03,744,
5005645774,372756162,372756162-1626,1,,2018-07-01,2018-07-03,225,
5005645776,393712162,393712162-2690,1,,2018-07-01,2018-07-03,488,
5005645777,393712162,393712162-2267,1,,2018-07-01,2018-07-03,631,
5005645778,373369162,373369162-5121,1,,2018-07-01,2018-07-03,940.16,
5005645783,328169162,328169162-2609,1,,2018-07-01,2018-07-03,1195.64,
5005645785,394499162,394499162-3823,1,,2018-07-01,2018-07-20,1538.85,
5005645790,346299162,346299162-1122,1,,2018-07-01,2018-07-03,1994,
5005645793,382999162,382999162-1569,1,,2018-07-01,2018-07-04,20.62,
5005645798,311999162,311999162-1062,1,,2018-07-01,2018-07-03,426,
5005645807,381536162,381536162-4052,1,,2018-07-01,2018-07-03,459.51,
5005645815,321989162,321989162-4324,1,,2018-07-01,2018-07-03,291.13,
5005645833,363589162,363589162-6267,1,,2018-07-01,2018-07-03,949.4,
5005645846,382999162,382999162-2169,1,,2018-07-01,2018-07-04,46.94,
5005645847,385279162,385279162-1380,1,,2018-07-01,2018-07-03,244,
5005645849,337926162,337926162-7483,1,,2018-07-01,2018-07-03,495.99,
5005645863,334879162,334879162-4363,1,,2018-07-01,2018-07-03,39.8,
5005645871,398756162,398756162-4415,1,,2018-07-01,2018-07-03,94.31,
5005645873,315459162,315459162-4104,1,,2018-07-01,2018-07-03,1197,
5005645885,349859162,349859162-3683,1,,2018-07-01,2018-07-03,238.8,
5005645886,393959162,393959162-4474,1,,2018-07-01,2018-07-03,904.39,
5005645908,348359162,348359162-8863,1,,2018-07-01,2018-07-03,338,
5005645934,322359162,322359162-2891,1,,2018-07-01,2018-07-04,220,
5005645941,374559162,374559162-1112,1,,2018-07-01,2018-07-03,1266.52,
5005645961,374559162,374559162-8406,1,,2018-07-01,2018-07-03,127.19,
5005645964,358219162,358219162-4897,1,,2018-07-01,2018-07-03,245.6,
5005645965,326619162,326619162-4032,1,,2018-07-01,2018-07-03,128.75,
5005645969,395419162,395419162-2321,1,,2018-07-01,2018-07-03,1090,
5005645997,377639162,377639162-8780,1,,2018-07-01,2018-07-03,333.93,
5005646001,327239162,327239162-6389,1,,2018-07-01,2018-07-03,1890,
5005646006,323959162,323959162-4119,1,,2018-07-01,2018-07-03,318.17,
5005646007,323139162,323139162-7196,1,,2018-07-01,2018-07-04,498.5,
5005646015,373959162,373959162-2979,1,,2018-07-01,2018-07-03,644,
5005646017,343248162,343248162-6156,1,,2018-07-01,2018-07-04,261.8,
5005646019,353339162,353339162-7108,1,,2018-07-01,2018-07-03,680,
5005646052,349848162,349848162-2947,1,,2018-07-01,2018-07-03,574.25,
5005646068,391148162,391148162-8247,1,,2018-07-02,2018-07-03,811,
5005646230,379668162,379668162-4481,1,,2018-07-02,2018-07-03,358.83,
5005646233,322968162,322968162-3132,1,,2018-07-02,2018-07-03,779.5,
5005646237,399368162,399368162-1414,1,,2018-07-02,2018-07-03,314.88,
5005646240,311468162,311468162-1336,1,,2018-07-02,2018-07-04,1683,
5005646250,351428162,351428162-7879,1,,2018-07-02,2018-07-03,562.82,
5005646263,343228162,343228162-5031,1,,2018-07-02,2018-07-03,308.12,
5005646265,336298162,336298162-9408,1,,2018-07-02,2018-07-03,1476.48,
5005646270,326268162,326268162-7331,1,,2018-07-02,2018-07-03,337.34,
5005646334,321798162,321798162-7667,1,,2018-07-02,2018-07-03,380,
5005646387,316198162,316198162-8690,1,,2018-07-02,2018-07-03,300,
5005645658,376549162,MPDS-376549162-5647,1,,2018-07-02,2018-07-04,403.17,
5005645896,375379162,MPDS-375379162-7005,1,,2018-07-02,2018-07-04,540,
5005646146,326268162,MPDS-326268162-5611,1,,2018-07-02,2018-07-04,153.17,
5005646400,323126162,323126162-5250,1,,2018-07-02,2018-07-03,800,
5005645037,357292162,MPDS-357292162-5667,1,,2018-07-02,2018-07-04,2344,
5005644971,393564162,MPDS-393564162-5151,1,,2018-07-02,2018-07-04,940,
5005645578,378734162,MPDS-378734162-3349,1,,2018-07-02,2018-07-04,99.5,
5005645579,391752162,MPDS-391752162-4856,1,,2018-07-02,2018-07-04,298.5,
5005645580,393766162,MPDS-393766162-7211,1,,2018-07-02,2018-07-04,1144,
5005646434,355198162,355198162-3111,1,,2018-07-02,2018-07-03,334.66,
5004756265,384444162,MPDS-384444162-4681,1,,2018-07-02,2018-07-03,229,
5004756266,399444162,MPDS-399444162-1141,1,,2018-07-02,2018-07-03,498,
5004756267,318444162,MPDS-318444162-4959,1,,2018-07-02,2018-07-03,249,
5004756263,324513562,MPDS-324513562-3588,1,,2018-07-02,2018-07-03,179,
5004756264,336133562,MPDS-336133562-6299,1,,2018-07-02,2018-07-03,797,
5004756261,375733562,MPDS-375733562-7439,1,,2018-07-02,2018-07-03,0,
5004756256,355633562,MPDS-355633562-1131,1,,2018-07-02,2018-07-03,249,
5004756258,395833562,MPDS-395833562-4425,1,,2018-07-02,2018-07-03,249,
5004756257,349833562,MPDS-349833562-3710,1,,2018-07-02,2018-07-03,2198.9,
5004756259,341733562,MPDS-341733562-7302,1,,2018-07-02,2018-07-03,249,
5004756255,385633562,MPDS-385633562-1966,1,,2018-07-02,2018-07-03,249,
5004756253,368433562,MPDS-368433562-5225,1,,2018-07-02,2018-07-03,279,
5004756252,391313562,MPDS-391313562-6036,1,,2018-07-02,2018-07-03,1299,
5004756254,336913562,MPDS-336913562-3119,1,,2018-07-02,2018-07-03,206.92,
5004756251,391713562,MPDS-391713562-1535,1,R 10- Quality - item incomplete,2018-07-02,2018-07-03,229,
5004756248,346913562,MPDS-346913562-9992,1,,2018-07-02,2018-07-03,560,
5004756249,347813562,MPDS-347813562-3116,1,,2018-07-02,2018-07-03,249,
5004756268,388642162,MPDS-388642162-1408,1,,2018-07-02,2018-07-03,249,
5004756250,343813562,MPDS-343813562-3878,1,,2018-07-02,2018-07-10,498,
5004756247,355642162,MPDS-355642162-6682,1,,2018-07-02,2018-07-03,229,
5004756242,359322162,MPDS-359322162-7225,1,,2018-07-02,2018-07-03,229,
5004756244,369362162,MPDS-369362162-5195,1,,2018-07-02,2018-07-04,249,
5004756245,369492162,MPDS-369492162-3799,1,,2018-07-02,2018-07-04,1299,
5004756246,375234162,MPDS-375234162-9111,1,,2018-07-02,2018-07-03,917,
5004756240,384162162,MPDS-384162162-4027,1,,2018-07-02,2018-07-03,319,
5004756238,388522162,MPDS-388522162-8074,1,,2018-07-02,2018-07-03,159,
5004756243,326362162,MPDS-326362162-8198,1,,2018-07-02,2018-07-03,747,
5004756241,386162162,MPDS-386162162-2405,1,,2018-07-02,2018-07-10,249,
5004756235,356334162,MPDS-356334162-8406,1,,2018-07-02,2018-07-03,558,
5004756239,396562162,MPDS-396562162-8943,1,,2018-07-02,2018-07-03,1099,
5004756237,341942162,MPDS-341942162-2419,1,,2018-07-02,2018-07-03,249,
5004756234,371462162,MPDS-371462162-4444,1,,2018-07-02,2018-07-03,541.76,
