tracking_nr,cod_received,chq_nr,deposit_date
5005592836,956,Direct Deposit,2018-07-21
5005593874,1206,Direct Deposit,2018-07-21
5005598177,404,Direct Deposit,2018-07-21
5005606165,905,Direct Deposit,2018-07-21
5005612590,532,Direct Deposit,2018-07-21
5005615864,3203,Direct Deposit,2018-07-21
5005617801,346,Direct Deposit,2018-07-21
5005618093,1003,Direct Deposit,2018-07-21
5005618148,17101,Direct Deposit,2018-07-21
5005618163,27701,Direct Deposit,2018-07-21
5005618540,199,Direct Deposit,2018-07-21
5005619726,837,Direct Deposit,2018-07-21
5005620518,1001,Direct Deposit,2018-07-21
5005620665,10416,Direct Deposit,2018-07-21
5005620823,18001,Direct Deposit,2018-07-21
5005620968,473,Direct Deposit,2018-07-21
5005621066,153,Direct Deposit,2018-07-21
5005621086,155,Direct Deposit,2018-07-21
5005621149,319,Direct Deposit,2018-07-21
5005621383,12252,Direct Deposit,2018-07-21
5005621394,430,Direct Deposit,2018-07-21
5005621541,240,Direct Deposit,2018-07-21
5005622751,455,Direct Deposit,2018-07-21
5005622929,250,Direct Deposit,2018-07-21
5005623081,636,Direct Deposit,2018-07-21
5005623086,151,Direct Deposit,2018-07-21
5005623151,355,Direct Deposit,2018-07-21
5005623384,2054,Direct Deposit,2018-07-21
5005623421,496,Direct Deposit,2018-07-21
5005623457,1757,Direct Deposit,2018-07-21
5005623612,1346,Direct Deposit,2018-07-21
5005623631,1266,Direct Deposit,2018-07-21
5005623684,453,Direct Deposit,2018-07-21
5005623754,472,Direct Deposit,2018-07-21
5005623822,1257,Direct Deposit,2018-07-21
5005623844,206,Direct Deposit,2018-07-21
5005623929,348,Direct Deposit,2018-07-21
5005624164,302,Direct Deposit,2018-07-21
5005624471,677,Direct Deposit,2018-07-21
5005624707,726,Direct Deposit,2018-07-21
5005624877,1115,Direct Deposit,2018-07-21
5005625180,41,Direct Deposit,2018-07-21
5005625198,752,Direct Deposit,2018-07-21
5005625334,3315,Direct Deposit,2018-07-21
5005625482,3194,Direct Deposit,2018-07-21
5005625487,1047,Direct Deposit,2018-07-21
5005625488,218,Direct Deposit,2018-07-21
5005625492,178,Direct Deposit,2018-07-21
5005625522,2699,Direct Deposit,2018-07-21
5005625656,731,Direct Deposit,2018-07-21
5005625800,344,Direct Deposit,2018-07-21
5005625808,108,Direct Deposit,2018-07-21
5005625997,195,Direct Deposit,2018-07-21
5005626078,951,Direct Deposit,2018-07-21
5005626182,1176,Direct Deposit,2018-07-21
5005626183,915,Direct Deposit,2018-07-21
5005626253,2480,Direct Deposit,2018-07-21
5005626469,628,Direct Deposit,2018-07-21
5005626478,540,Direct Deposit,2018-07-21
5005626532,1195,Direct Deposit,2018-07-21
5005626546,1679,Direct Deposit,2018-07-21
5005626599,428,Direct Deposit,2018-07-21
5005626665,102,Direct Deposit,2018-07-21
5005626684,1355,Direct Deposit,2018-07-21
5005626708,553,Direct Deposit,2018-07-21
5005626771,2701,Direct Deposit,2018-07-21
5005626800,550,Direct Deposit,2018-07-21
5005626817,221,Direct Deposit,2018-07-21
5005626854,3201,Direct Deposit,2018-07-21
5005626883,1101,Direct Deposit,2018-07-21
5005626960,584,Direct Deposit,2018-07-21
5005626983,361,Direct Deposit,2018-07-21
5005627047,7,Direct Deposit,2018-07-21
5005627085,706,Direct Deposit,2018-07-21
5005627110,154,Direct Deposit,2018-07-21
5005627173,446,Direct Deposit,2018-07-21
5005627227,274,Direct Deposit,2018-07-21
5005627279,284,Direct Deposit,2018-07-21
5005627323,322,Direct Deposit,2018-07-21
5005627354,299,Direct Deposit,2018-07-21
5005627393,350,Direct Deposit,2018-07-21
5005627545,1461,Direct Deposit,2018-07-21
5005627563,9487,Direct Deposit,2018-07-21
5005627606,62,Direct Deposit,2018-07-21
5005627658,83,Direct Deposit,2018-07-21
5005627677,1066,Direct Deposit,2018-07-21
5005627734,1278,Direct Deposit,2018-07-21
5005627750,296,Direct Deposit,2018-07-21
5005627755,2396,Direct Deposit,2018-07-21
5005627810,850,Direct Deposit,2018-07-21
5005627952,781,Direct Deposit,2018-07-21
5005627957,262,Direct Deposit,2018-07-21
5005627962,96,Direct Deposit,2018-07-21
5005627966,903,Direct Deposit,2018-07-21
5005627977,1848,Direct Deposit,2018-07-21
5005627985,25,Direct Deposit,2018-07-21
5005627987,145,Direct Deposit,2018-07-21
5005627995,87,Direct Deposit,2018-07-21
5005627999,235,Direct Deposit,2018-07-21
5005628066,707,Direct Deposit,2018-07-21
5005628081,403,Direct Deposit,2018-07-21
5005628095,804,Direct Deposit,2018-07-21
5005628097,1052,Direct Deposit,2018-07-21
5005628129,530,Direct Deposit,2018-07-21
5005628246,2519,Direct Deposit,2018-07-21
5005628252,1155,Direct Deposit,2018-07-21
5005628319,57,Direct Deposit,2018-07-21
5005628427,2066,Direct Deposit,2018-07-21
5005628541,1002,Direct Deposit,2018-07-21
5005628552,1852,Direct Deposit,2018-07-21
5005628672,645,Direct Deposit,2018-07-21
5005628684,75,Direct Deposit,2018-07-21
5005628688,1156,Direct Deposit,2018-07-21
5005628763,422,Direct Deposit,2018-07-21
5005628783,755,Direct Deposit,2018-07-21
5005628795,955,Direct Deposit,2018-07-21
5005628807,676,Direct Deposit,2018-07-21
5005628818,549,Direct Deposit,2018-07-21
5005628826,116,Direct Deposit,2018-07-21
5005628941,156,Direct Deposit,2018-07-21
5005629071,116,Direct Deposit,2018-07-21
5005629099,506,Direct Deposit,2018-07-21
5005629137,570,Direct Deposit,2018-07-21
5005629167,156,Direct Deposit,2018-07-21
5005629185,583,Direct Deposit,2018-07-21
5005629190,769,Direct Deposit,2018-07-21
5005629234,572,Direct Deposit,2018-07-21
5005629248,831,Direct Deposit,2018-07-21
5005629278,607,Direct Deposit,2018-07-21
5005629299,305,Direct Deposit,2018-07-21
5005629302,255,Direct Deposit,2018-07-21
5005629303,573,Direct Deposit,2018-07-21
5005629313,406,Direct Deposit,2018-07-21
5005629339,422,Direct Deposit,2018-07-21
5005629360,1307,Direct Deposit,2018-07-21
5005629376,212,Direct Deposit,2018-07-21
5005629392,1403,Direct Deposit,2018-07-21
5005629424,181,Direct Deposit,2018-07-21
5005629474,176,Direct Deposit,2018-07-21
5005629589,1885,Direct Deposit,2018-07-21
5005629607,1055,Direct Deposit,2018-07-21
5005629621,1157,Direct Deposit,2018-07-21
5005629652,112,Direct Deposit,2018-07-21
5005629678,252,Direct Deposit,2018-07-21
5005629699,1015,Direct Deposit,2018-07-21
5005629702,255,Direct Deposit,2018-07-21
5005629713,701,Direct Deposit,2018-07-21
5005629722,707,Direct Deposit,2018-07-21
5005629748,706,Direct Deposit,2018-07-21
5005629786,417,Direct Deposit,2018-07-21
5005629826,1805,Direct Deposit,2018-07-21
5005629827,166,Direct Deposit,2018-07-21
5005629838,151,Direct Deposit,2018-07-21
5005629878,307,Direct Deposit,2018-07-21
5005629925,597,Direct Deposit,2018-07-21
