"Tracking Number","Amount Receivables","Amount Received","Outstanding Amount","Deposit Date","Company Name","Order Number","City Name","Delivery Date","Reporting Days"
5005645985,644.00,486.00,158.00,"2018-07-30 00:00:00",TCS,371216162,karachi,"2018-07-04 00:00:00",+63
5005645602,1359.00,1216.00,143.00,"2018-07-30 00:00:00",TCS,375376162,karachi,"2018-07-04 00:00:00",+63
5005654876,478.83,321.00,157.83,"2018-07-26 00:00:00",TCS,391754292,karachi,"2018-07-16 00:00:00",+51
5005655329,284.00,126.00,158.00,"2018-07-26 00:00:00",TCS,385592292,karachi,"2018-07-16 00:00:00",+51
5005653244,1144.00,986.00,158.00,"2018-07-26 00:00:00",TCS,385297492,karachi,"2018-07-13 00:00:00",+54
5004756205,249.00,90.00,159.00,"2018-07-30 00:00:00",TCS,384434162,karachi,"2018-07-03 00:00:00",+64
5005653654,543.00,364.00,179.00,"2018-07-26 00:00:00",TCS,334741492,karachi,"2018-07-13 00:00:00",+54
5005647156,300.00,142.00,158.00,"2018-07-26 00:00:00",TCS,396765162,karachi,"2018-07-04 00:00:00",+63
5005651814,906.65,728.00,178.65,"2018-07-26 00:00:00",TCS,386444492,karachi,"2018-07-12 00:00:00",+55
5005654024,1394.00,1236.00,158.00,"2018-07-26 00:00:00",TCS,381163492,karachi,"2018-07-14 00:00:00",+53
5005650314,773.00,594.00,179.00,"2018-07-26 00:00:00",TCS,388635362,karachi,"2018-07-11 00:00:00",+56
5005652184,1444.00,1265.00,179.00,"2018-07-26 00:00:00",TCS,339686492,karachi,"2018-07-12 00:00:00",+55
5005650991,844.00,665.00,179.00,"2018-07-26 00:00:00",TCS,393744492,karachi,"2018-07-13 00:00:00",+54
5005652567,2096.25,1938.00,158.25,"2018-07-26 00:00:00",TCS,395198492,karachi,"2018-07-12 00:00:00",+55
5005651416,948.75,791.00,157.75,"2018-07-26 00:00:00",TCS,319946492,karachi,"2018-07-11 00:00:00",+56
5005652903,944.00,786.00,158.00,"2018-07-26 00:00:00",TCS,375648492,karachi,"2018-07-13 00:00:00",+54
5005646144,1049.75,871.00,178.75,"2018-07-30 00:00:00",TCS,344866162,karachi,"2018-07-04 00:00:00",+63
5005645994,372.57,230.00,142.57,"2018-07-30 00:00:00",TCS,378679162,karachi,"2018-07-04 00:00:00",+63
5005654447,765.50,587.00,178.50,"2018-07-26 00:00:00",TCS,399344292,karachi,"2018-07-13 00:00:00",+54
5005654963,398.50,240.00,158.50,"2018-07-26 00:00:00",TCS,375192292,karachi,"2018-07-18 00:00:00",+49
5005652943,1019.50,841.00,178.50,"2018-07-26 00:00:00",TCS,329167492,karachi,"2018-07-13 00:00:00",+54
5005655427,264.00,85.00,179.00,"2018-07-26 00:00:00",TCS,312476292,karachi,"2018-07-16 00:00:00",+51
5005653323,224.86,67.00,157.86,"2018-07-26 00:00:00",TCS,371985492,karachi,"2018-07-13 00:00:00",+54
5005644672,1799.00,1641.00,158.00,"2018-07-30 00:00:00",TCS,353544162,karachi,"2018-07-04 00:00:00",+63
5004756272,1136.00,978.00,158.00,"2018-07-26 00:00:00",TCS,313353362,karachi,"2018-07-12 00:00:00",+55
5005651466,619.80,462.00,157.80,"2018-07-26 00:00:00",TCS,332446492,karachi,"2018-07-11 00:00:00",+56
5005653717,834.00,547.00,287.00,"2018-07-26 00:00:00",TCS,354991492,karachi,"2018-07-12 00:00:00",+55
